year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1999.50090,-11.89000,,,
1999.52860,6.24000,,,
1999.55610,-8.50000,,,
1999.58280,1.37000,,,
1999.61000,41.88000,,,
1999.63710,39.27000,,,
1999.69130,-11.37000,,,
1999.71840,-13.16000,,,
1999.74600,24.14000,,,
1999.77270,-14.72000,,,
1999.80020,-17.95000,,,
1999.82780,54.52000,,,
1999.85430,-22.28000,,,
1999.88130,-5.23000,,,
1999.90830,-50.30000,,,
1999.96290,18.12000,,,
1999.98990,-38.67000,,,
2000.01670,-31.73000,,,
2000.04430,-32.60000,,,
2000.07120,-9.58000,,,
2000.09850,5.49000,,,
2000.12590,27.04000,,,
2000.15290,24.90000,,,
2000.17980,-19.76000,,,
2000.20710,-7.40000,,,
2000.23420,-11.81000,,,
2000.28880,90.74000,,,
2000.31610,78.87000,,,
2000.34310,24.99000,,,
2000.37010,-12.00000,,,
2000.39730,-5.04000,,,
2000.42400,-19.90000,,,
2000.45120,-18.65000,,,
2000.47880,-32.51000,,,
2000.50600,-6.97000,,,
2000.53280,9.90000,,,
2000.58730,0.16000,,,
2000.61430,-25.97000,,,
2000.64160,-9.92000,,,
2000.66840,-23.37000,,,
2000.69570,-19.09000,,,
2000.72220,-0.36000,,,
2000.75060,-28.98000,,,
2000.77670,-21.10000,,,
2000.80460,-24.38000,,,
2000.85890,-11.22000,,,
2000.88580,2.27000,,,
2000.91410,56.70000,,,
2000.94040,9.79000,,,
2000.96730,-18.13000,,,
2000.99460,82.01000,,,
2001.02150,107.21000,,,
2001.07570,8.73000,,,
2001.10340,49.68000,,,
2001.13040,1.40000,,,
2001.15700,-11.52000,,,
2001.18460,125.97000,,,
2001.21160,47.85000,,,
2001.23900,19.43000,,,
2001.26670,-44.83000,,,
2001.29260,-55.72000,,,
2001.32020,-25.29000,,,
2001.34770,8.74000,,,
2001.37450,34.76000,,,
2001.40150,-4.87000,,,
2001.42910,-15.27000,,,
2001.45590,-23.95000,,,
2001.48290,-16.33000,,,
2001.51050,-13.40000,,,
2001.53750,7.78000,,,
2001.56470,9.66000,,,
2001.59210,7.90000,,,
2001.61880,-11.41000,,,
2001.64590,-33.43000,,,
2001.67320,2.34000,,,
2001.70090,25.61000,,,
2001.72820,23.76000,,,
2001.75480,42.47000,,,
2001.78170,4.34000,,,
2001.80880,-0.91000,,,
2001.83620,0.16000,,,
2001.86310,9.24000,,,
2001.89140,-64.83000,,,
2001.91730,-78.01000,,,
2001.94500,-54.66000,,,
2001.97160,-88.40000,,,
2001.99880,-1.62000,,,
2002.02720,-68.41000,,,
2002.05300,,-16.16000,,
2002.05340,-26.91000,,,
2002.08030,23.33000,,,
2002.08100,,33.44000,,
2002.10700,-6.86000,,,
2002.10760,,5.90000,,
2002.13420,,23.21000,,
2002.13480,15.35000,,,
2002.16120,,8.45000,,
2002.16150,15.79000,,,
2002.18870,,41.51000,,
2002.18930,56.01000,,,
2002.21600,,20.08000,,
2002.21640,37.43000,,,
2002.24280,-25.02000,,,
2002.24320,,-29.83000,,
2002.26980,,15.80000,,
2002.27070,17.74000,,,
2002.29700,,91.84000,,
2002.29780,72.94000,,,
2002.32470,,13.39000,,
2002.32490,8.92000,,,
2002.35150,,-9.98000,,
2002.35160,-7.25000,,,
2002.37930,-16.69000,-19.53000,,
2002.40550,,-6.31000,,
2002.40610,-5.29000,,,
2002.43300,,12.81000,,
2002.43350,12.34000,,,
2002.46000,,18.36000,,
2002.46040,17.18000,,,
2002.48790,,-40.55000,,
2002.48800,-33.44000,,,
2002.51450,,-32.05000,,
2002.54150,,-7.81000,,
2002.54190,3.73000,,,
2002.56880,,20.00000,,
2002.56900,23.10000,,,
2002.59580,,7.68000,,
2002.59600,8.37000,,,
2002.62260,,-14.27000,,
2002.62380,-11.38000,,,
2002.65030,,-4.65000,,
2002.65490,6.58000,,,
2002.67710,,29.87000,,
2002.67840,36.41000,,,
2002.70440,,47.98000,,
2002.70680,36.80000,,,
2002.73150,,57.89000,,
2002.73200,54.65000,,,
2002.75900,-8.12000,2.31000,,
2002.78590,,24.09000,,
2002.78640,19.52000,,,
2002.81290,,25.23000,,
2002.81330,21.34000,,,
2002.84000,-7.10000,,,
2002.84050,,-10.42000,,
2002.86700,,0.15000,,
2002.86770,3.89000,,,
2002.89330,,77.78000,,
2002.89550,67.62000,,,
2002.92160,,36.11000,,
2002.92220,19.25000,,,
2002.94890,12.24000,,,
2002.94900,,34.37000,,
2002.97610,,34.25000,,
2002.97630,22.80000,,,
2003.00320,,84.85000,,
2003.00350,74.27000,,,
